Category: All categories

Week,diet: (United States)
2014-06-15,58
2014-06-22,57
2014-06-29,51
2014-07-06,57
2014-07-13,55
2014-07-20,54
2014-07-27,55
2014-08-03,55
2014-08-10,51
2014-08-17,51
2014-08-24,47
2014-08-31,49
2014-09-07,49
2014-09-14,49
2014-09-21,51
2014-09-28,53
2014-10-05,48
2014-10-12,47
2014-10-19,46
2014-10-26,46
2014-11-02,47
2014-11-09,46
2014-11-16,43
2014-11-23,35
2014-11-30,47
2014-12-07,43
2014-12-14,39
2014-12-21,38
2014-12-28,60
2015-01-04,74
2015-01-11,64
2015-01-18,58
2015-01-25,55
2015-02-01,53
2015-02-08,51
2015-02-15,53
2015-02-22,54
2015-03-01,57
2015-03-08,57
2015-03-15,58
2015-03-22,56
2015-03-29,52
2015-04-05,56
2015-04-12,58
2015-04-19,59
2015-04-26,56
2015-05-03,54
2015-05-10,54
2015-05-17,52
2015-05-24,54
2015-05-31,54
2015-06-07,55
2015-06-14,53
2015-06-21,52
2015-06-28,52
2015-07-05,54
2015-07-12,54
2015-07-19,54
2015-07-26,53
2015-08-02,53
2015-08-09,53
2015-08-16,51
2015-08-23,47
2015-08-30,46
2015-09-06,48
2015-09-13,49
2015-09-20,47
2015-09-27,46
2015-10-04,46
2015-10-11,47
2015-10-18,46
2015-10-25,47
2015-11-01,46
2015-11-08,44
2015-11-15,41
2015-11-22,35
2015-11-29,42
2015-12-06,41
2015-12-13,38
2015-12-20,37
2015-12-27,55
2016-01-03,74
2016-01-10,59
2016-01-17,58
2016-01-24,60
2016-01-31,57
2016-02-07,53
2016-02-14,54
2016-02-21,57
2016-02-28,58
2016-03-06,59
2016-03-13,54
2016-03-20,54
2016-03-27,58
2016-04-03,57
2016-04-10,56
2016-04-17,55
2016-04-24,56
2016-05-01,54
2016-05-08,54
2016-05-15,56
2016-05-22,53
2016-05-29,53
2016-06-05,55
2016-06-12,50
2016-06-19,49
2016-06-26,51
2016-07-03,52
2016-07-10,51
2016-07-17,51
2016-07-24,51
2016-07-31,51
2016-08-07,53
2016-08-14,50
2016-08-21,49
2016-08-28,48
2016-09-04,47
2016-09-11,47
2016-09-18,48
2016-09-25,45
2016-10-02,44
2016-10-09,45
2016-10-16,45
2016-10-23,42
2016-10-30,44
2016-11-06,38
2016-11-13,44
2016-11-20,34
2016-11-27,44
2016-12-04,41
2016-12-11,39
2016-12-18,35
2016-12-25,50
2017-01-01,71
2017-01-08,65
2017-01-15,61
2017-01-22,62
2017-01-29,66
2017-02-05,73
2017-02-12,63
2017-02-19,66
2017-02-26,63
2017-03-05,62
2017-03-12,60
2017-03-19,61
2017-03-26,61
2017-04-02,59
2017-04-09,58
2017-04-16,61
2017-04-23,62
2017-04-30,61
2017-05-07,59
2017-05-14,59
2017-05-21,58
2017-05-28,58
2017-06-04,60
2017-06-11,58
2017-06-18,59
2017-06-25,61
2017-07-02,61
2017-07-09,63
2017-07-16,62
2017-07-23,60
2017-07-30,61
2017-08-06,59
2017-08-13,55
2017-08-20,52
2017-08-27,51
2017-09-03,50
2017-09-10,49
2017-09-17,51
2017-09-24,52
2017-10-01,50
2017-10-08,52
2017-10-15,51
2017-10-22,53
2017-10-29,49
2017-11-05,51
2017-11-12,50
2017-11-19,41
2017-11-26,50
2017-12-03,47
2017-12-10,46
2017-12-17,43
2017-12-24,54
2017-12-31,82
2018-01-07,77
2018-01-14,71
2018-01-21,70
2018-01-28,70
2018-02-04,68
2018-02-11,64
2018-02-18,68
2018-02-25,68
2018-03-04,66
2018-03-11,67
2018-03-18,73
2018-03-25,76
2018-04-01,78
2018-04-08,75
2018-04-15,71
2018-04-22,72
2018-04-29,75
2018-05-06,73
2018-05-13,71
2018-05-20,68
2018-05-27,69
2018-06-03,70
2018-06-10,70
2018-06-17,68
2018-06-24,67
2018-07-01,68
2018-07-08,72
2018-07-15,69
2018-07-22,73
2018-07-29,70
2018-08-05,70
2018-08-12,69
2018-08-19,65
2018-08-26,63
2018-09-02,60
2018-09-09,57
2018-09-16,59
2018-09-23,56
2018-09-30,58
2018-10-07,55
2018-10-14,56
2018-10-21,53
2018-10-28,53
2018-11-04,53
2018-11-11,50
2018-11-18,42
2018-11-25,52
2018-12-02,50
2018-12-09,48
2018-12-16,45
2018-12-23,57
2018-12-30,100
2019-01-06,92
2019-01-13,80
2019-01-20,74
2019-01-27,73
2019-02-03,70
2019-02-10,64
2019-02-17,67
2019-02-24,65
2019-03-03,66
2019-03-10,64
2019-03-17,63
2019-03-24,65
2019-03-31,74
2019-04-07,66
2019-04-14,63
2019-04-21,68
2019-04-28,63
2019-05-05,59
2019-05-12,57
2019-05-19,57
2019-05-26,57
2019-06-02,57
2019-06-09,59
